Rank,Name,Net Worth (billions),Age,Source,Country of Citizenship,Net Worth
#791,Robert Sands,$3 B,60,Food & Beverage,United States,3
#791,Herbert Simon,$3 B,83,real estate,United States,3
#791,Robert Toennies,$3 B,40,meat processing,Germany,3
#791,Manuel Villar,$3 B,68,real estate,Philippines,3
#791,Don Vultaggio,$3 B,66,AriZona Beverages,United States,3
#791,Wang Zhenhua,$3 B,56,real estate,China,3
#791,Wu Kaiting,$3 B,48,electronics,Hong Kong,3
#791,Simon Xie,$3 B,48,online payment service,China,3
#822,Chuck Bundrant,$2.9 B,76,fishing,United States,2.9
#822,Cai Dongchen,$2.9 B,65,pharmaceuticals,China,2.9
#822,Jose and Francisco Jose Calderon Rojas,$2.9 B,-,beverages,Mexico,2.9
#822,Jason Chang,$2.9 B,74,electronics,Singapore,2.9
#822,Smita Crishna-Godrej,$2.9 B,67,consumer goods,India,2.9
#822,Ding Shizhong,$2.9 B,47,sports apparel,China,2.9
#822,Feng Hailiang,$2.9 B,57,"copper, education",China,2.9
#822,Gerald Ford,$2.9 B,73,banking,United States,2.9
#822,Philippe Foriel-Destezet,$2.9 B,82,employment agency,France,2.9
#822,Adi Godrej,$2.9 B,76,consumer goods,India,2.9
#822,Jamshyd Godrej,$2.9 B,69,consumer goods,India,2.9
#822,Nadir Godrej,$2.9 B,67,consumer goods,India,2.9
#822,Joseph Grendys,$2.9 B,56,poultry processing,United States,2.9
#822,Hedda im Brahm-Droege,$2.9 B,63,consulting,Germany,2.9
#822,Ke Zunhong,$2.9 B,63,pharmaceuticals,China,2.9
#822,Randal Kirk,$2.9 B,64,pharmaceuticals,United States,2.9
#822,Alicia Koplowitz,$2.9 B,64,"construction, investments",Spain,2.9
#822,Kwek Leng Beng,$2.9 B,77,real estate,Singapore,2.9
#822,Louis Le Duff,$2.9 B,71,bakeries,France,2.9
#822,Yusaku Maezawa,$2.9 B,42,online retail,Japan,2.9
#822,Sergio Mantegazza,$2.9 B,90,travel,Switzerland,2.9
#822,Hans Melchers,$2.9 B,80,"chemicals, investments",Netherlands,2.9
#822,Erwin Franz Mueller,$2.9 B,85,drugstores,Germany,2.9
#822,Rishad Naoroji,$2.9 B,66,consumer goods,India,2.9
#822,Husnu Ozyegin,$2.9 B,73,"finance, diversified",Turkey,2.9
#822,Prajogo Pangestu,$2.9 B,74,petrochemicals,Indonesia,2.9
#822,Jeff Rothschild,$2.9 B,63,Facebook,United States,2.9
#822,Thomas Siebel,$2.9 B,65,business software,United States,2.9
#822,Paul Singer,$2.9 B,73,hedge funds,United States,2.9
#822,Ralph Sonnenberg,$2.9 B,84,blinds,Netherlands,2.9
#822,Jon Stryker,$2.9 B,60,medical equipment,United States,2.9
#822,Georg Stumpf,$2.9 B,45,"real estate, construction",Austria,2.9
#822,Tsai Hong-tu,$2.9 B,65,finance,Taiwan,2.9
#822,Vincent Viola,$2.9 B,62,electronic trading,United States,2.9
#822,Radovan Vitek,$2.9 B,47,real estate,Czech Republic,2.9
#822,Wang Laichun,$2.9 B,51,electronics components,China,2.9
#822,Wang Laisheng,$2.9 B,53,electronics components,China,2.9
#859,Carlos Ardila LŸlle,$2.8 B,88,"soft drinks, diversified",Colombia,2.8
#859,"William Conway, Jr.",$2.8 B,68,private equity,United States,2.8
#859,Daniel D'Aniello,$2.8 B,71,private equity,United States,2.8
#859,Jim Davis,$2.8 B,58,staffing & recruiting,United States,2.8
#859,Ding Shijia,$2.8 B,54,sportswear,China,2.8
#859,"John Dorrance, III.",$2.8 B,74,Campbell Soup,Ireland,2.8
#859,Doris Fisher,$2.8 B,86,Gap,United States,2.8
#859,John Fisher,$2.8 B,57,Gap,United States,2.8
#859,Caroline Hagen Kjos,$2.8 B,34,conglomerate,Norway,2.8
#859,Kieu Hoang,$2.8 B,73,medical products,United States,2.8
#859,Huang Shih Tsai,$2.8 B,67,real estate,Hong Kong,2.8
#859,H. Wayne Huizenga,$2.8 B,80,investments,United States,2.8
#859,Osman Kibar,$2.8 B,47,biotech,United States,2.8
#859,Aloke Lohia,$2.8 B,59,petrochemicals,India,2.8
#859,Taha Mikati,$2.8 B,73,telecom,Lebanon,2.8
#859,Philip Niarchos,$2.8 B,64,art collection,Greece,2.8
#859,Stefan Olsson,$2.8 B,69,diversified,Sweden,2.8
#859,Sebastian Pi–era,$2.8 B,68,investments,Chile,2.8
#859,Penny Pritzker,$2.8 B,59,"hotels, investments",United States,2.8
#859,Nicolas Puech,$2.8 B,75,Hermes,France,2.8
#859,Chandru Raheja,$2.8 B,77,real estate,India,2.8
#859,David Rubenstein,$2.8 B,68,private equity,United States,2.8
#859,Shi Yuzhu,$2.8 B,55,"online games, investments",China,2.8
#859,Zygmunt Solorz-Zak,$2.8 B,61,TV broadcasting,Poland,2.8
#859,Tung Chee Chen,$2.8 B,76,shipping,Hong Kong,2.8
#859,Mark Walter,$2.8 B,58,finance,United States,2.8
#859,"William Wrigley, Jr.",$2.8 B,54,chewing gum,United States,2.8
#859,Mortimer Zuckerman,$2.8 B,81,"real estate, media",United States,2.8
#887,Mohed Altrad,$2.7 B,70,"scaffolding, cement mixers",France,2.7
#887,Anil Ambani,$2.7 B,59,diversified,India,2.7
#887,Roberto Angelini Rossi,$2.7 B,69,"forestry, mining",Chile,2.7
#887,Saeed Bin Butti Al Qebaisi,$2.7 B,-,"hospitals, investments",United Arab Emirates,2.7
#887,Pierre Chen,$2.7 B,60,"art, electronics",Taiwan,2.7
#887,Ray Davis,$2.7 B,76,pipelines,United States,2.7
#887,"Edward DeBartolo, Jr.",$2.7 B,71,shopping centers,United States,2.7
#887,Bennett Dorrance,$2.7 B,72,Campbell Soup,United States,2.7
#887,Eduardo Eurnekian,$2.7 B,85,"airports, investments",Argentina,2.7
#887,Piero Ferrari,$2.7 B,73,automobiles,Italy,2.7
#887,Fiona Geminder,$2.7 B,53,manufacturing,Australia,2.7
#887,Gu Yuhua,$2.7 B,68,furniture,China,2.7
#887,Don Hankey,$2.7 B,75,auto loans,United States,2.7
#887,Reed Hastings,$2.7 B,57,Netflix,United States,2.7
#887,Huang Wei,$2.7 B,58,real estate,China,2.7
#887,James Irsay,$2.7 B,59,Indianapolis Colts,United States,2.7
#887,Kim Beom-Su,$2.7 B,52,online services,South Korea,2.7
#887,Mustafa Kucuk,$2.7 B,55,fashion retail,Turkey,2.7
#887,Mohamed Mansour,$2.7 B,70,diversified,Egypt,2.7
#887,Najib Mikati,$2.7 B,62,telecom,Lebanon,2.7
#887,Ermirio Pereira de Moraes,$2.7 B,86,diversified,Brazil,2.7
#887,Bob Parsons,$2.7 B,67,web hosting,United States,2.7
#887,Krit Ratanarak,$2.7 B,72,"media, real estate",Thailand,2.7
#887,Helena Revoredo,$2.7 B,71,security services,Spain,2.7
#887,Phillip Ruffin,$2.7 B,83,"casinos, real estate",United States,2.7
#887,Howard Schultz,$2.7 B,64,Starbucks,United States,2.7
#887,E. Joe Shoen,$2.7 B,68,U-Haul,United States,2.7
#887,Thomas Straumann,$2.7 B,54,dental implants,Switzerland,2.7
#887,Lawrence Stroll,$2.7 B,58,fashion investments,Canada,2.7
#887,Andrew Tan,$2.7 B,65,diversified,Philippines,2.7
#887,Tsai Cheng-da,$2.7 B,-,finance,Taiwan,2.7
#887,Frank VanderSloot,$2.7 B,69,nutrition and wellness products,United States,2.7
#887,Sandro Veronesi,$2.7 B,58,fashion,Italy,2.7
#887,Ty Warner,$2.7 B,73,"real estate, plush toys",United States,2.7
#887,Oprah Winfrey,$2.7 B,64,TV shows,United States,2.7
#887,Zhang Wenzhong,$2.7 B,56,Retail,China,2.7
#887,Zuo Hui,$2.7 B,47,real estate services,China,2.7
#924,Juan Abello,$2.6 B,76,investments,Spain,2.6
#924,Semahat Sevim Arsel,$2.6 B,89,diversified,Turkey,2.6
#924,Bang Jun-Hyuk,$2.6 B,50,online gaming,South Korea,2.6
#924,Koos Bekker,$2.6 B,65,"media, investments",South Africa,2.6
#924,David Bonderman,$2.6 B,75,private equity,United States,2.6
#924,Francesco Gaetano Caltagirone,$2.6 B,75,"cement, diversified",Italy,2.6
#924,John Caudwell,$2.6 B,65,mobile phones,United Kingdom,2.6
#924,Chen Fashu,$2.6 B,57,investments,China,2.6
#924,Chung Eui-Sun,$2.6 B,47,logistics,South Korea,2.6
#924,Isabel dos Santos,$2.6 B,45,investments,Angola,2.6
#924,Fong Yun Wah,$2.6 B,93,real estate,Hong Kong,2.6
#924,Phillip Frost,$2.6 B,81,pharmaceuticals,United States,2.6
#924,Lutz Mario Helmig,$2.6 B,71,hospitals,Germany,2.6
#924,B. Wayne Hughes,$2.6 B,84,self storage,United States,2.6
#924,Daniel Kretinsky,$2.6 B,42,energy generation,Czech Republic,2.6
#924,Raj Kumar & Kishin RK,$2.6 B,64,real estate,Singapore,2.6
#924,Lam Kong,$2.6 B,54,pharmaceuticals,China,2.6
#924,Lau Cho Kun,$2.6 B,82,"palm oil, property",Malaysia,2.6
#924,"Stephen Mandel, Jr.",$2.6 B,62,hedge funds,United States,2.6
#924,Gilles Martin,$2.6 B,54,laboratory services,France,2.6
#924,Daniel Mate,$2.6 B,55,"mining, commodities",Spain,2.6
#924,Robert Miller,$2.6 B,72,electronics components,Canada,2.6
#924,Jorge Moll Filho,$2.6 B,73,hospitals,Brazil,2.6
#924,Maria Helena Moraes Scripilliti,$2.6 B,87,diversified,Brazil,2.6
#924,Sean Parker,$2.6 B,38,Facebook,United States,2.6
#924,Jay Paul,$2.6 B,70,real estate,United States,2.6
#924,Patrick Ryan,$2.6 B,81,insurance,United States,2.6
#924,Thomas Secunda,$2.6 B,63,Bloomberg LP,United States,2.6
#924,Shen Wenrong,$2.6 B,72,steel production,China,2.6
#924,Shen Yuxing,$2.6 B,59,real estate,China,2.6
#924,Gil Shwed,$2.6 B,50,software,Israel,2.6
#924,Song Zuowen,$2.6 B,71,"aluminum, diversified",China,2.6
#924,Warren Stephens,$2.6 B,61,investment banking,United States,2.6
#924,Glen Taylor,$2.6 B,77,printing,United States,2.6
#924,Hanni Toosbuy Kasprzak,$2.6 B,60,shoes,Denmark,2.6
#924,Torbjorn Tornqvist,$2.6 B,64,oil trading,Sweden,2.6
#924,Bulat Utemuratov,$2.6 B,60,"mining, banking, hotels",Kazakhstan,2.6
#924,Chip Wilson,$2.6 B,61,Lululemon,Canada,2.6
#924,Jerry Yang,$2.6 B,49,Yahoo,United States,2.6
#924,Zhang Fan,$2.6 B,52,touch screens,China,2.6
#924,Zhu Xingliang,$2.6 B,59,construction,China,2.6
#965,Ramon Ang,$2.5 B,64,Diversified,Philippines,2.5
#965,Edward Bass,$2.5 B,72,"oil, investments",United States,2.5
#965,Lee Bass,$2.5 B,62,"oil, investments",United States,2.5
#965,Bert Beveridge,$2.5 B,56,vodka,United States,2.5
#965,George Bishop,$2.5 B,80,oil & gas,United States,2.5
#965,Jaime Botin,$2.5 B,82,banking,Spain,2.5
#965,Norman Braman,$2.5 B,85,"art, car dealerships",United States,2.5
#965,Chin Jong Hwa,$2.5 B,60,auto parts,Taiwan,2.5
#965,Cho Tak Wong,$2.5 B,72,auto parts,Hong Kong,2.5
#965,John Coates,$2.5 B,48,online gambling,United Kingdom,2.5
#965,Du Jiangtao,$2.5 B,48,chemicals,China,2.5
#965,Aloysio de Andrade Faria,$2.5 B,97,banking,Brazil,2.5
#965,Kenneth Feld,$2.5 B,69,"circus, live entertainment",United States,2.5
#965,Luca Garavoglia,$2.5 B,49,spirits,Italy,2.5
#965,Noam Gottesman,$2.5 B,57,hedge funds,United States,2.5
#965,Jonathan Gray,$2.5 B,48,investments,United States,2.5
#965,Stein Erik Hagen,$2.5 B,61,consumer goods,Norway,2.5
#965,Chang-Woo Han,$2.5 B,87,pachinko parlors,Japan,2.5
#965,John Henry,$2.5 B,68,sports,United States,2.5
#965,Lawrence Ho,$2.5 B,41,casinos,Hong Kong,2.5
#965,Hui Lin Chit,$2.5 B,65,hygiene products,China,2.5
#965,Mustafa Rahmi Koc,$2.5 B,87,diversified,Turkey,2.5
#965,Kuan Kam Hon,$2.5 B,70,synthetic gloves,Malaysia,2.5
#965,Jane Lauder,$2.5 B,45,cosmetics,United States,2.5
#965,Aerin Lauder Zinterhofer,$2.5 B,48,cosmetics,United States,2.5
#965,Maritsa Lazari,$2.5 B,73,real estate,United Kingdom,2.5
#965,Bernard Lewis,$2.5 B,92,fashion retailer,United Kingdom,2.5
#965,Vincent Lo,$2.5 B,69,real estate,Hong Kong,2.5
#965,Jeffrey Lorberbaum,$2.5 B,63,flooring,United States,2.5
#965,Joe Mansueto,$2.5 B,61,investment research,United States,2.5
#965,Jose Roberto Marinho,$2.5 B,62,media,Brazil,2.5
#965,Roberto Irineu Marinho,$2.5 B,70,media,Brazil,2.5
#965,C. Dean Metropoulos,$2.5 B,72,investments,United States,2.5
#965,Aristotelis Mistakidis,$2.5 B,56,"mining, commodities",Greece,2.5
#965,Arturo Moreno,$2.5 B,71,"billboards, Anaheim Angels",United States,2.5
#965,Yoshiko Mori,$2.5 B,77,real estate,Japan,2.5
#965,Adam Neumann,$2.5 B,39,WeWork,Israel,2.5
#965,Or Wai Sheun,$2.5 B,67,real estate,Hong Kong,2.5
#965,Richard Peery,$2.5 B,79,real estate,United States,2.5
#965,Horst Julius Pudwill,$2.5 B,73,manufacturing,Germany,2.5
#965,P.V. Ramprasad Reddy,$2.5 B,60,pharmaceuticals,India,2.5
#965,Larry Robbins,$2.5 B,48,hedge funds,United States,2.5
#965,Carlos Sanchez,$2.5 B,56,generic drugs,Brazil,2.5
#965,Stephan Schmidheiny,$2.5 B,70,investments,Switzerland,2.5
#965,Klaus-Peter Schulenberg,$2.5 B,-,ticketing service,Germany,2.5
#965,Charles Simonyi,$2.5 B,69,Microsoft,United States,2.5
#965,Mark Stevens,$2.5 B,58,venture capital,United States,2.5
#965,Sze Man Bok,$2.5 B,68,hygiene products,China,2.5
#965,Sarik Tara,$2.5 B,88,construction,Turkey,2.5
#965,Lottie Tham,$2.5 B,69,H&M,Sweden,2.5
#965,Peter Thiel,$2.5 B,50,"Facebook, Palantir",United States,2.5
#965,Elaine Wynn,$2.5 B,76,"casinos, hotels",United States,2.5
#965,Denise York,$2.5 B,67,San Francisco 49ers,United States,2.5
#965,David Zalik,$2.5 B,44,technology,United States,2.5
#965,Zhao Tao,$2.5 B,52,pharmaceuticals,Singapore,2.5
#1020,George Argyros,$2.4 B,81,"real estate, investments",United States,2.4
#1020,John Arrillaga,$2.4 B,81,real estate,United States,2.4
#1020,Charles Bronfman,$2.4 B,86,liquor,Canada,2.4
#1020,Peter Buck,$2.4 B,87,Subway sandwich shops,United States,2.4
#1020,Chen Jinxia,$2.4 B,50,investments,China,2.4
#1020,Vivien Chen,$2.4 B,59,real estate,Hong Kong,2.4
#1020,Chu Lam Yiu,$2.4 B,48,flavorings,Hong Kong,2.4
#1020,Jean Coutu,$2.4 B,91,drugstores,Canada,2.4
#1020,Jose Luis Cutrale,$2.4 B,71,orange juice,Brazil,2.4
#1020,Jai Hari & Yadu Hari Dalmia,$2.4 B,-,cement,India,2.4
#1020,Bergit Douglas,$2.4 B,71,consumer goods,Germany,2.4
#1020,Alfredo Egydio Arruda Villela Filho,$2.4 B,48,banking,Brazil,2.4
#1020,Marcel Erni,$2.4 B,53,private equity,Switzerland,2.4
#1020,Andre Esteves,$2.4 B,49,banking,Brazil,2.4
#1020,Carlo Fidani,$2.4 B,63,real estate,Canada,2.4
#1020,Abhay Firodia,$2.4 B,73,automobiles,India,2.4
#1020,Alfred Gantner,$2.4 B,50,private equity,Switzerland,2.4
#1020,Geng Jianming,$2.4 B,55,real estate,China,2.4
#1020,Mitchell Goldhar,$2.4 B,56,real estate,Canada,2.4
#1020,Hortensia Herrero,$2.4 B,68,supermarkets,Spain,2.4
#1020,Michael Hintze,$2.4 B,64,investment,Australia,2.4
#1020,Igor Kesaev,$2.4 B,51,"tobacco distribution, retail",Russia,2.4
#1020,Koon Poh Keong,$2.4 B,57,aluminum,Malaysia,2.4
#1020,Hermann Langness,$2.4 B,65,retail,Germany,2.4
#1020,Li Zhongchu,$2.4 B,54,software,China,2.4
#1020,Alexander Mamut,$2.4 B,58,investments,Russia,2.4
#1020,Joao Roberto Marinho,$2.4 B,64,media,Brazil,2.4
#1020,"Drayton McLane, Jr.",$2.4 B,81,"Wal-Mart, logistics",United States,2.4
#1020,Patrice Motsepe,$2.4 B,56,mining,South Africa,2.4
#1020,Alfred Oetker,$2.4 B,51,consumer goods,Germany,2.4
#1020,August Oetker,$2.4 B,74,consumer goods,Germany,2.4
#1020,Carl Ferdinand Oetker,$2.4 B,45,consumer goods,Germany,2.4
#1020,Christian Oetker,$2.4 B,70,consumer goods,Germany,2.4
#1020,Julia Oetker,$2.4 B,39,consumer goods,Germany,2.4
#1020,Richard Oetker,$2.4 B,67,consumer goods,Germany,2.4
#1020,Daniel Pritzker,$2.4 B,58,"hotels, investments",United States,2.4
#1020,John Pritzker,$2.4 B,65,"hotels, investments",United States,2.4
#1020,Nevaldo Rocha,$2.4 B,88,retail,Brazil,2.4
#1020,Luigi Rovati,$2.4 B,89,pharmaceuticals,Italy,2.4
#1020,Ferit Faik Sahenk,$2.4 B,54,diversified,Turkey,2.4
#1020,Rosely Schweizer,$2.4 B,77,consumer goods,Germany,2.4
#1020,Eric Smidt,$2.4 B,58,hardware stores,United States,2.4
#1020,Alexander Spanos,$2.4 B,94,"real estate, Los Angeles Chargers",United States,2.4
#1020,Leena Tewari,$2.4 B,60,pharmaceuticals,India,2.4
#1020,Tong Jinquan,$2.4 B,63,real estate,China,2.4
#1020,Peter Unger,$2.4 B,73,auto repair,Germany,2.4
#1020,Sunny Varkey,$2.4 B,61,education,India,2.4
#1020,Urs Wietlisbach,$2.4 B,56,private equity,Switzerland,2.4
#1020,Michael Ying,$2.4 B,68,retail,Hong Kong,2.4
#1020,Yu Minhong,$2.4 B,56,education,China,2.4
#1070,Eva Maria Bucher-Haefner,$2.3 B,61,Computer Associates,Switzerland,2.3
#1070,Chen Hua,$2.3 B,52,real estate,China,2.3
#1070,Gustavo Denegri,$2.3 B,82,biotech,Italy,2.3
#1070,Dermot Desmond,$2.3 B,67,finance,Ireland,2.3
#1070,Murali Divi,$2.3 B,67,pharmaceuticals,India,2.3
#1070,Thomas Flohr,$2.3 B,48,VistaJet,Switzerland,2.3
#1070,Bernard Fraisse,$2.3 B,61,pharmaceuticals,France,2.3
#1070,Harsh Goenka,$2.3 B,60,diversified,India,2.3
#1070,David Gottesman,$2.3 B,92,investments,United States,2.3
#1070,Murli Dhar & Bimal Kumar Gyanchandani,$2.3 B,-,Detergents,India,2.3
#1070,Bill Haslam,$2.3 B,59,truck stops,United States,2.3
#1070,Hu Baifan,$2.3 B,55,pharmaceuticals,China,2.3
#1070,W. Herbert Hunt,$2.3 B,89,oil,United States,2.3
#1070,Alijan Ibragimov,$2.3 B,64,"mining, metals",Kazakhstan,2.3
#1070,Bradley Jacobs,$2.3 B,61,logistics,United States,2.3
#1070,Brad Kelley,$2.3 B,61,tobacco,United States,2.3
#1070,Vinod Khosla,$2.3 B,63,venture capital,United States,2.3
#1070,Stephen Lansdown,$2.3 B,65,financial services,Guernsey,2.3
#1070,Martin Lau,$2.3 B,45,e-commerce,Hong Kong,2.3
#1070,Lee Joong-Keun,$2.3 B,77,"construction, real estate",South Korea,2.3
#1070,Lin Li,$2.3 B,55,investments,China,2.3
#1070,Kenneth Lo,$2.3 B,79,textiles,United Kingdom,2.3
#1070,Alexander Machkevich,$2.3 B,64,"mining, metals",Israel,2.3
#1070,Clayton Mathile,$2.3 B,77,pet food,United States,2.3
#1070,Stanley Perron,$2.3 B,95,"real estate, retail",Australia,2.3
#1070,J. Joe Ricketts,$2.3 B,76,TD Ameritrade,United States,2.3
#1070,Dirk Rossmann,$2.3 B,71,drugstores,Germany,2.3
#1070,Filiz Sahenk,$2.3 B,51,diversified,Turkey,2.3
#1070,Dan Snyder,$2.3 B,53,Washington Redskins,United States,2.3
#1070,Peter Spuhler,$2.3 B,58,train cars,Switzerland,2.3
#1070,Tang Yiu,$2.3 B,84,fashion retail,Hong Kong,2.3
#1070,John Tyson,$2.3 B,64,food processing,United States,2.3
#1070,Wong Man Li,$2.3 B,53,furniture,Hong Kong,2.3
#1103,Lia Maria Aguiar,$2.2 B,80,banking,Brazil,2.2
#1103,Aziz Akhannouch,$2.2 B,57,"petroleum, diversified",Morocco,2.2
#1103,Ron Baron,$2.2 B,75,money management,United States,2.2
#1103,Shyam & Hari Bhartia,$2.2 B,65,Diversified,India,2.2
#1103,Timothy Boyle,$2.2 B,68,Columbia Sportswear,United States,2.2
#1103,Tatiana Casiraghi,$2.2 B,34,beer,Monaco,2.2
#1103,Chan Tan Ching-fen,$2.2 B,-,real estate,Hong Kong,2.2
#1103,"Chase Coleman, III.",$2.2 B,42,hedge fund,United States,2.2
#1103,Mark Coombs,$2.2 B,57,finance,United Kingdom,2.2
#1103,James Coulter,$2.2 B,58,private equity,United States,2.2
#1103,Dulce Pugliese de Godoy Bueno,$2.2 B,70,"hospitals, health care",Brazil,2.2
#1103,Ana Lucia de Mattos Barretto Villela,$2.2 B,44,banking,Brazil,2.2
#1103,"Frank Fertitta, III.",$2.2 B,56,"casinos, mixed martial arts",United States,2.2
#1103,Lorenzo Fertitta,$2.2 B,49,"casinos, mixed martial arts",United States,2.2
#1103,Maria Franca Fissolo,$2.2 B,83,"Nutella, chocolates",Italy,2.2
#1103,Alexander Frolov,$2.2 B,54,"mining, steel",Russia,2.2
#1103,"Ernest Garcia, II.",$2.2 B,61,used cars,United States,2.2
#1103,Alexandre Grendene Bartelle,$2.2 B,68,shoes,Brazil,2.2
#1103,Vinod & Anil Rai Gupta,$2.2 B,72,electrical equipment,India,2.2
#1103,Torstein Hagen,$2.2 B,75,cruises,Norway,2.2
#1103,He Qiaonv,$2.2 B,52,landscape architecture,China,2.2
#1103,Hans-Werner Hector,$2.2 B,78,SAP,Germany,2.2
#1103,Stanley Hubbard,$2.2 B,85,DirecTV,United States,2.2
#1103,Ke Xiping,$2.2 B,58,investments,China,2.2
#1103,Suna Kirac,$2.2 B,77,diversified,Turkey,2.2
#1103,Kong Jian Min,$2.2 B,50,real estate,China,2.2
#1103,Koo Bon-Moo,$2.2 B,73,Diversified,South Korea,2.2
#1103,Heikki Kyostila,$2.2 B,72,dental products,Finland,2.2
#1103,Thomas Lee,$2.2 B,74,private equity,United States,2.2
#1103,Eric Lefkofsky,$2.2 B,48,Groupon,United States,2.2
#1103,Peter Lim,$2.2 B,65,investments,Singapore,2.2
#1103,Scott Lin,$2.2 B,-,optical components,Taiwan,2.2
#1103,Tomas Olivo Lopez,$2.2 B,44,shopping centers,Spain,2.2
#1103,Phillip T. (Terry) Ragon,$2.2 B,69,health IT,United States,2.2
#1103,Stewart Rahr,$2.2 B,72,drug distribution,United States,2.2
#1103,T. Denny Sanford,$2.2 B,82,"banking, credit cards",United States,2.2
#1103,"Julio Mario Santo Domingo, III.",$2.2 B,33,beer,United States,2.2
#1103,"Karl Scheufele, III.",$2.2 B,79,jewelry,Switzerland,2.2
#1103,Shen Guojun,$2.2 B,55,retail,China,2.2
#1103,Alain Taravella,$2.2 B,70,real estate,France,2.2
#1103,Oleg Tinkov,$2.2 B,50,banking,Russia,2.2
#1103,T.Y. Tsai,$2.2 B,-,finance,Taiwan,2.2
#1103,Tung Chee Hwa,$2.2 B,81,shipping,Hong Kong,2.2
#1103,Ted Turner,$2.2 B,79,cable television,United States,2.2
#1103,Sunil Vaswani,$2.2 B,54,diversified,United Kingdom,2.2
#1103,Jitendra Virwani,$2.2 B,52,real estate,India,2.2
#1103,Lang Walker,$2.2 B,72,real estate,Australia,2.2
#1103,Wu Zhigang,$2.2 B,83,bakery chain,China,2.2
#1103,Xiao Wenge,$2.2 B,51,entertainment,China,2.2
#1103,Xiong Xuqiang,$2.2 B,61,real estate,Hong Kong,2.2
#1103,Takao Yasuda,$2.2 B,69,retail,Japan,2.2
#1103,William Young,$2.2 B,77,plastics,United States,2.2
#1103,Eddie & Sol Zakay,$2.2 B,-,Real Estate,United Kingdom,2.2
#1103,Zhang Xiugen,$2.2 B,57,automobiles,China,2.2
#1157,Leslie Alexander,$2.1 B,74,sports team,United States,2.1
#1157,Patricia Angelini Rossi,$2.1 B,64,"forestry, mining",Chile,2.1
#1157,Josef Boquoi,$2.1 B,84,frozen foods,Germany,2.1
#1157,Nikolai Buinov,$2.1 B,50,"oil, gas",Russia,2.1
#1157,Richard Chandler,$2.1 B,59,investments,New Zealand,2.1
#1157,Cheng Xue,$2.1 B,48,soy sauce,China,2.1
#1157,Patokh Chodiev,$2.1 B,65,"mining, metals",Belgium,2.1
#1157,Choo Chong Ngen,$2.1 B,65,hotels,Singapore,2.1
#1157,Todd Christopher,$2.1 B,55,hair care products,United States,2.1
#1157,John de Mol,$2.1 B,63,television,Netherlands,2.1
#1157,Bob Gaglardi,$2.1 B,77,hotels,Canada,2.1
#1157,Gordon Getty,$2.1 B,84,Getty Oil,United States,2.1
#1157,Philippe Ginestet,$2.1 B,64,retail stores,France,2.1
#1157,Sanjiv Goenka,$2.1 B,57,diversified,India,2.1
#1157,Alec Gores,$2.1 B,65,private equity,United States,2.1
#1157,David Hains,$2.1 B,87,Investment,Australia,2.1
#1157,Bahaa Hariri,$2.1 B,52,"real estate, investments, logistics",Lebanon,2.1
#1157,William Heinecke,$2.1 B,69,hotels,Thailand,2.1
#1157,Huang Hongyun,$2.1 B,51,real estate,China,2.1
#1157,Huang Zhenda,$2.1 B,70,construction,China,2.1
#1157,Ravi Jaipuria,$2.1 B,63,soft drinks,India,2.1
#1157,Jiang Yehua,$2.1 B,55,real estate,China,2.1
#1157,Manuel Jove,$2.1 B,76,real estate,Spain,2.1
#1157,Willibert Krueger,$2.1 B,77,food processing,Germany,2.1
#1157,Kuok Khoon Hong,$2.1 B,68,palm oil,Singapore,2.1
#1157,Christian Latouche,$2.1 B,77,accounting services,France,2.1
#1157,Guenther Lehmann,$2.1 B,-,drugstores,Germany,2.1
#1157,Li Hongxin,$2.1 B,65,paper & related products,China,2.1
#1157,Li Xiting,$2.1 B,67,medical devices,China,2.1
#1157,Liang Yunchao,$2.1 B,49,nutrition supplements,China,2.1
#1157,Brandt Louie,$2.1 B,74,drugstores,Canada,2.1
#1157,Catherine Lozick,$2.1 B,73,valve manufacturing,United States,2.1
#1157,Igor Makarov,$2.1 B,56,investments,Russia,2.1
#1157,Mao Lixiang,$2.1 B,77,cooking appliances,China,2.1
#1157,Harsh Mariwala,$2.1 B,67,consumer goods,India,2.1
#1157,Martin Moller Nielsen,$2.1 B,53,aircraft leasing,Denmark,2.1
#1157,David Murdock,$2.1 B,95,"Dole, real estate",United States,2.1
#1157,N.R. Narayana Murthy,$2.1 B,71,software services,India,2.1
#1157,Georg Nemetschek,$2.1 B,84,software,Germany,2.1
#1157,Vikas Oberoi,$2.1 B,47,real estate,India,2.1
#1157,Maja Oeri,$2.1 B,63,Roche Holding,Switzerland,2.1
#1157,Ong Beng Seng and Christina Ong,$2.1 B,73,diversified,Singapore,2.1
#1157,"H. Ross Perot, Jr.",$2.1 B,59,real estate,United States,2.1
#1157,Tor Peterson,$2.1 B,53,commodities,United States,2.1
#1157,Heloise Pratt,$2.1 B,55,"manufacturing, investment",Australia,2.1
#1157,Alexey Repik,$2.1 B,38,pharmaceuticals,Russia,2.1
#1157,Shin Chang-Jae,$2.1 B,64,insurance,South Korea,2.1
#1157,Kavitark Ram Shriram,$2.1 B,61,"venture capital, Google",United States,2.1
#1157,Sylvia Stroeher,$2.1 B,63,cosmetics,Germany,2.1
#1157,Katsumi Tada,$2.1 B,72,real estate,Japan,2.1
